place,Jurisdiction,Age,Females,Males,year
431,Denver City/County,30-34,34549.0,36649,2016.0
432,Douglas County,30-34,9881.0,9220,2016.0
433,Gilpin County,30-34,169.0,231,2016.0
434,Jefferson County,30-34,18450.0,19631,2016.0
435,Bow Mar,30-34,3.0,10,2016.0
436,Weld County,30-34,9666.0,10199,2016.0
437,Brighton,30-34,1463.0,1680,2016.0
438,Castle Pines,30-34,121.0,306,2016.0
439,Castle Rock,30-34,2174.0,1954,2016.0
440,Centennial,30-34,3360.0,3286,2016.0
441,Central City,30-34,11.0,36,2016.0
442,Cherry Hills Village,30-34,57.0,0,2016.0
443,Columbine Valley,30-34,22.0,9,2016.0
444,Commerce City,30-34,2872.0,2165,2016.0
445,Dacono,30-34,170.0,237,2016.0
446,Deer Trail,30-34,26.0,0,2016.0
447,Edgewater,30-34,255.0,255,2016.0
448,Elizabeth,30-34,57.0,58,2016.0
449,Empire,30-34,13.0,18,2016.0
450,Englewood,30-34,1495.0,1681,2016.0
451,Erie,30-34,859.0,538,2016.0
452,Federal Heights,30-34,618.0,549,2016.0
453,Firestone,30-34,545.0,534,2016.0
454,Fort Lupton,30-34,356.0,262,2016.0
455,Foxfield,30-34,15.0,0,2016.0
456,Frederick,30-34,525.0,392,2016.0
457,Georgetown,30-34,22.0,33,2016.0
458,Glendale,30-34,332.0,513,2016.0
459,Golden,30-34,619.0,773,2016.0
459,Golden,30-34,619.0,773,2016.0
460,Greenwood Village,30-34,353.0,370,2016.0
461,Hudson,30-34,47.0,87,2016.0
462,Idaho Springs,30-34,38.0,53,2016.0
463,Jamestown,30-34,15.0,7,2016.0
464,Keenesburg,30-34,33.0,45,2016.0
465,Kiowa,30-34,37.0,36,2016.0
466,Lafayette,30-34,1027.0,897,2016.0
467,Lakeside,30-34,2.0,1,2016.0
468,Lakewood,30-34,5340.0,5922,2016.0
469,Larkspur,30-34,4.0,7,2016.0
470,Littleton,30-34,1597.0,1458,2016.0
471,Lone Tree,30-34,554.0,543,2016.0
472,Longmont,30-34,2784.0,2759,2016.0
473,Louisville,30-34,585.0,454,2016.0
474,Lyons,30-34,54.0,71,2016.0
475,Mead,30-34,205.0,180,2016.0
476,Morrison,30-34,4.0,10,2016.0
477,Mountain View,30-34,37.0,24,2016.0
478,Nederland,30-34,44.0,69,2016.0
479,Northglenn,30-34,1390.0,1656,2016.0
480,Parker,30-34,1500.0,1403,2016.0
481,Platteville,30-34,127.0,105,2016.0
482,Sheridan,30-34,254.0,312,2016.0
483,Silver Plume,30-34,2.0,9,2016.0
484,Superior,30-34,517.0,406,2016.0
485,Thornton,30-34,5421.0,5541,2016.0
486,Ward,30-34,9.0,2,2016.0
487,Westminster,30-34,4452.0,4465,2016.0
488,Wheat Ridge,30-34,1163.0,1033,2016.0
489,Weld County (DRCOG),30-34,2711.0,2452,2016.0
490,Region,30-34,127814.0,132517,2016.0
421,Arvada,35-39,3781.0,4014,2016.0
